Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
1981,San Diego Padres,NL West,41,69,6,,519161.0,9439.0,12th of 12,,94,94,Jack Murphy Stadium
1980,San Diego Padres,NL West,73,89,6,,1139026.0,14062.0,10th of 12,,95,94,San Diego Stadium
1979,San Diego Padres,NL West,68,93,5,,1456967.0,17987.0,8th of 12,,94,93,San Diego Stadium
1978,San Diego Padres,NL West,84,78,4,,1670107.0,20619.0,5th of 12,,92,91,San Diego Stadium
1977,San Diego Padres,NL West,69,93,5,,1376269.0,16991.0,7th of 12,,91,89,San Diego Stadium
1976,San Diego Padres,NL West,73,89,5,,1458478.0,18231.0,5th of 12,,93,92,San Diego Stadium
1975,San Diego Padres,NL West,71,91,4,,1281747.0,15824.0,6th of 12,,96,94,San Diego Stadium
1974,San Diego Padres,NL West,60,102,6,,1075399.0,13277.0,8th of 12,,98,95,San Diego Stadium
1973,San Diego Padres,NL West,60,102,6,,611826.0,7553.0,12th of 12,,94,91,San Diego Stadium
1972,San Diego Padres,NL West,58,95,6,,644273.0,8053.0,11th of 12,,95,92,San Diego Stadium
1971,San Diego Padres,NL West,61,100,6,,557513.0,6883.0,12th of 12,,95,93,San Diego Stadium
1970,San Diego Padres,NL West,63,99,6,,643679.0,7947.0,12th of 12,,98,95,San Diego Stadium
1969,San Diego Padres,NL West,52,110,6,,512970.0,6333.0,12th of 12,,98,96,San Diego Stadium
