Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
1917,Chicago White Sox,AL,100,54,1,Won WS (4-2),684521.0,8665.0,1st of 8,,100,102,Comiskey Park I
1916,Chicago White Sox,AL,89,65,2,,679923.0,8830.0,1st of 8,,98,101,Comiskey Park I
1915,Chicago White Sox,AL,93,61,3,,539461.0,6829.0,2nd of 8,,102,103,Comiskey Park I
1914,Chicago White Sox,AL,70,84,6,,469290.0,5794.0,2nd of 8,,98,99,Comiskey Park I
1913,Chicago White Sox,AL,78,74,5,,644501.0,8370.0,1st of 8,,100,99,Comiskey Park I
1912,Chicago White Sox,AL,78,76,4,,602241.0,7721.0,2nd of 8,,96,97,White Sox Park
1911,Chicago White Sox,AL,77,74,4,,583208.0,7477.0,2nd of 8,,97,98,White Sox Park
1910,Chicago White Sox,AL,68,85,6,,552084.0,6988.0,3rd of 8,,94,94,"South Side Park III, White Sox Park"
1909,Chicago White Sox,AL,78,74,4,,478400.0,5906.0,5th of 8,,96,97,South Side Park III
1908,Chicago White Sox,AL,88,64,3,,636096.0,8155.0,1st of 8,,97,98,South Side Park III
1907,Chicago White Sox,AL,87,64,3,,666307.0,8434.0,1st of 8,,95,97,South Side Park III
1906,Chicago White Sox,AL,93,58,1,Won WS (4-2),585202.0,7408.0,1st of 8,,94,97,South Side Park III
1905,Chicago White Sox,AL,92,60,2,,687419.0,8383.0,1st of 8,,93,96,South Side Park III
1904,Chicago White Sox,AL,89,65,3,,557123.0,7143.0,2nd of 8,,94,96,South Side Park III
1903,Chicago White Sox,AL,60,77,7,,286183.0,4088.0,5th of 8,,94,95,South Side Park III
1902,Chicago White Sox,AL,74,60,4,,337898.0,4693.0,3rd of 8,,94,94,South Side Park III
1901,Chicago White Sox,AL,83,53,1,,354350.0,4991.0,1st of 8,,95,97,South Side Park III
