Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
1981,New York Yankees,AL East,59,48,4,Lost WS (4-2),"1,614,353","31,654",1st of 14,,97,98,Yankee Stadium II
1980,New York Yankees,AL East,103,59,1,Lost ALCS (3-0),"2,627,417","32,437",1st of 14,,97,98,Yankee Stadium II
1979,New York Yankees,AL East,89,71,4,,"2,537,765","31,330",1st of 14,,96,98,Yankee Stadium II
1978,New York Yankees,AL East,100,63,1,Won WS (4-2),"2,335,871","28,838",1st of 14,,96,97,Yankee Stadium II
1977,New York Yankees,AL East,100,62,1,Won WS (4-2),"2,103,092","25,964",1st of 14,,97,99,Yankee Stadium II
1976,New York Yankees,AL East,97,62,1,Lost WS (4-0),"2,012,434","25,155",1st of 12,,98,99,Yankee Stadium IIx
1975,New York Yankees,AL East,83,77,3,,"1,288,048","16,513",2nd of 12,,98,99,Shea Stadium
1974,New York Yankees,AL East,89,73,2,,"1,273,075","15,717",2nd of 12,,98,99,Shea Stadium
1973,New York Yankees,AL East,80,82,4,,"1,262,103","15,582",5th of 12,,96,96,Yankee Stadium I
1972,New York Yankees,AL East,79,76,4,,"966,328","12,550",4th of 12,,96,97,Yankee Stadium I
1971,New York Yankees,AL East,82,80,4,,"1,070,771","13,219",3rd of 12,,94,94,Yankee Stadium I
1970,New York Yankees,AL East,93,69,2,,"1,136,879","14,036",4th of 12,,95,95,Yankee Stadium I
1969,New York Yankees,AL East,80,81,5,,"1,067,996","13,350",4th of 12,,96,96,Yankee Stadium I
1968,New York Yankees,AL,83,79,5,,"1,185,666","14,459",3rd of 10,,96,95,Yankee Stadium I
1967,New York Yankees,AL,72,90,9,,"1,259,514","15,360",5th of 10,,96,95,Yankee Stadium I
1966,New York Yankees,AL,70,89,10,,"1,124,648","13,715",4th of 10,,96,95,Yankee Stadium I
1965,New York Yankees,AL,77,85,6,,"1,213,552","14,621",2nd of 10,,98,99,Yankee Stadium I
1964,New York Yankees,AL,99,63,1,Lost WS (4-3),"1,305,638","16,119",1st of 10,,100,102,Yankee Stadium I
1963,New York Yankees,AL,104,57,1,Lost WS (4-0),"1,308,920","16,362",2nd of 10,,97,99,Yankee Stadium I
1962,New York Yankees,AL,96,66,1,Won WS (4-3),"1,493,574","18,670",1st of 10,,95,98,Yankee Stadium I
1961,New York Yankees,AL,109,53,1,Won WS (4-1),"1,747,725","21,577",1st of 10,,92,95,Yankee Stadium I
1960,New York Yankees,AL,97,57,1,Lost WS (4-3),"1,627,349","21,134",2nd of 8,,93,95,Yankee Stadium I
1959,New York Yankees,AL,79,75,3,,"1,552,030","20,156",1st of 8,,94,96,Yankee Stadium I
1958,New York Yankees,AL,92,62,1,Won WS (4-3),"1,428,438","18,313",1st of 8,,94,96,Yankee Stadium I
1957,New York Yankees,AL,98,56,1,Lost WS (4-3),"1,497,134","19,443",1st of 8,,95,99,Yankee Stadium I
1956,New York Yankees,AL,97,57,1,Won WS (4-3),"1,491,784","19,374",1st of 8,,93,97,Yankee Stadium I
1955,New York Yankees,AL,96,58,1,Lost WS (4-3),"1,490,138","19,352",1st of 8,,95,99,Yankee Stadium I
1954,New York Yankees,AL,103,51,2,,"1,475,171","18,912",1st of 8,,93,97,Yankee Stadium I
1953,New York Yankees,AL,99,52,1,Won WS (4-2),"1,537,811","19,972",1st of 8,,92,96,Yankee Stadium I
1952,New York Yankees,AL,95,59,1,Won WS (4-3),"1,629,665","21,164",1st of 8,,90,94,Yankee Stadium I
1951,New York Yankees,AL,98,56,1,Won WS (4-2),"1,950,107","25,001",1st of 8,,93,96,Yankee Stadium I
1950,New York Yankees,AL,98,56,1,Won WS (4-0),"2,081,380","27,031",1st of 8,,94,97,Yankee Stadium I
1949,New York Yankees,AL,97,57,1,Won WS (4-1),"2,283,676","29,278",1st of 8,,96,100,Yankee Stadium I
1948,New York Yankees,AL,94,60,3,,"2,373,901","30,830",2nd of 8,,95,99,Yankee Stadium I
1947,New York Yankees,AL,97,57,1,Won WS (4-3),"2,178,937","28,298",1st of 8,,95,99,Yankee Stadium I
1946,New York Yankees,AL,87,67,3,,"2,265,512","29,422",1st of 8,,98,101,Yankee Stadium I
1945,New York Yankees,AL,81,71,4,,"881,845","11,603",2nd of 8,,103,104,Yankee Stadium I
1944,New York Yankees,AL,83,71,3,,"789,995","10,128",2nd of 8,,102,103,Yankee Stadium I
1943,New York Yankees,AL,98,56,1,Won WS (4-1),"618,330","8,030",1st of 8,,98,101,Yankee Stadium I
1942,New York Yankees,AL,103,51,1,Lost WS (4-1),"922,011","11,974",1st of 8,,94,98,Yankee Stadium I
1941,New York Yankees,AL,101,53,1,Won WS (4-1),"964,722","12,368",1st of 8,,95,99,Yankee Stadium I
1940,New York Yankees,AL,88,66,3,,"988,975","13,013",2nd of 8,,92,96,Yankee Stadium I
1939,New York Yankees,AL,106,45,1,Won WS (4-0),"859,785","11,166",1st of 8,,94,99,Yankee Stadium I
1938,New York Yankees,AL,99,53,1,Won WS (4-0),"970,916","12,290",1st of 8,,95,100,Yankee Stadium I
1937,New York Yankees,AL,102,52,1,Won WS (4-1),"998,148","12,635",2nd of 8,,97,102,Yankee Stadium I
1936,New York Yankees,AL,102,51,1,Won WS (4-2),"976,913","12,687",1st of 8,,92,97,Yankee Stadium I
1935,New York Yankees,AL,89,60,2,,"657,508","8,885",2nd of 8,,91,95,Yankee Stadium I
1934,New York Yankees,AL,94,60,2,,"854,682","11,100",2nd of 8,,91,94,Yankee Stadium I
1933,New York Yankees,AL,91,59,2,,"728,014","9,707",1st of 8,,91,94,Yankee Stadium I
1932,New York Yankees,AL,107,47,1,Won WS (4-0),"962,320","12,498",1st of 8,,91,95,Yankee Stadium I
1931,New York Yankees,AL,94,59,2,,"912,437","11,850",1st of 8,,91,95,Yankee Stadium I
1930,New York Yankees,AL,86,68,3,,"1,169,230","15,385",1st of 8,,93,96,Yankee Stadium I
1929,New York Yankees,AL,88,66,2,,"960,148","12,469",1st of 8,,91,94,Yankee Stadium I
1928,New York Yankees,AL,101,53,1,Won WS (4-0),"1,072,132","13,924",1st of 8,,94,98,Yankee Stadium I
1927,New York Yankees,AL,110,44,1,Won WS (4-0),"1,164,015","15,117",1st of 8,,94,98,Yankee Stadium I
1926,New York Yankees,AL,91,63,1,Lost WS (4-3),"1,027,675","13,702",1st of 8,,96,99,Yankee Stadium I
1925,New York Yankees,AL,69,85,7,,"697,267","8,826",5th of 8,,97,98,Yankee Stadium I
1924,New York Yankees,AL,89,63,2,,"1,053,533","13,507",1st of 8,,99,100,Yankee Stadium I
1923,New York Yankees,AL,98,54,1,Won WS (4-2),"1,007,066","13,251",1st of 8,,99,102,Yankee Stadium I
1922,New York Yankees,AL,94,60,1,Lost WS (4-0-1),"1,026,134","13,326",1st of 8,,99,102,Polo Grounds V
1921,New York Yankees,AL,98,55,1,Lost WS (5-3),"1,230,696","15,778",1st of 8,,99,102,Polo Grounds V
1920,New York Yankees,AL,95,59,3,,"1,289,422","16,746",1st of 8,,101,104,Polo Grounds V
1919,New York Yankees,AL,80,59,3,,"619,164","8,482",3rd of 8,,98,100,Polo Grounds V
1918,New York Yankees,AL,60,63,4,,"282,047","4,210",2nd of 8,,101,102,Polo Grounds V
1917,New York Yankees,AL,71,82,6,,"330,294","4,404",5th of 8,,101,101,Polo Grounds V
1916,New York Yankees,AL,80,74,4,,"469,211","5,939",5th of 8,,103,102,Polo Grounds V
1915,New York Yankees,AL,69,83,5,,"256,035","3,122",4th of 8,,100,100,Polo Grounds V
1914,New York Yankees,AL,70,84,6,,"359,477","4,609",4th of 8,,101,100,Polo Grounds V
1913,New York Yankees,AL,57,94,7,,"357,551","4,767",6th of 8,,102,100,Polo Grounds V
1912,New York Highlanders,AL,50,102,8,,"242,194","3,187",7th of 8,,109,106,"Hilltop Park, Polo Grounds V"
1911,New York Highlanders,AL,76,76,6,,"302,444","3,928",6th of 8,,107,106,Hilltop Park
1910,New York Highlanders,AL,88,63,2,,"355,857","4,622",5th of 8,,105,106,Hilltop Park
1909,New York Highlanders,AL,74,77,5,,"501,000","6,506",3rd of 8,,102,100,Hilltop Park
1908,New York Highlanders,AL,51,103,8,,"305,500","3,968",7th of 8,,103,100,Hilltop Park
1907,New York Highlanders,AL,70,78,5,,"350,020","4,667",6th of 8,,109,107,Hilltop Park
1906,New York Highlanders,AL,90,61,2,,"434,700","5,720",3rd of 8,,110,110,Hilltop Park
1905,New York Highlanders,AL,71,78,6,,"309,100","4,121",6th of 8,,109,110,Hilltop Park
1904,New York Highlanders,AL,92,59,2,,"438,919","5,852",4th of 8,,104,105,"Wiedenmeyer's Park, Hilltop Park"
1903,New York Highlanders,AL,72,62,4,,"211,808","3,161",7th of 8,,105,105,Hilltop Park
